date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:00	25601/25601	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:08%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html	(from )
13:55:01	8913/8913	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202023%2008:25:01%20GMT	https://kiswa.net/robots.txt		(from )
13:55:01	1338/1338	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202017%2015:21:06%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/favicon.png	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/favicon.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:02	159515/159515	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Nov%202019%2012:38:54%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/bootstrap-4.4.1.min.css	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/bootstrap-4.4.1.min.css	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:03	54456/54456	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Feb%202019%2015:25:04%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/fontawesome5.7.2/css/all.min.css	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/fontawesome5.7.2/css/all.min.css	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:03	79681/79681	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Apr%202020%2010:28:50%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/style.css	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/style.css	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:04	3194/3194	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Sep%202017%2013:15:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-1.jpg	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-1.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:05	54190/54190	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Apr%202020%2011:14:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/responsive.css	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/css/responsive.css	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:05	20189/20189	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:34%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-view-profile.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-view-profile.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:05	21272/21272	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:32%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-edit-profile.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-edit-profile.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:05	20140/20140	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:32%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-change-password.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/profile-change-password.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:06	22333/22333	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:34%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/users-create-user.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/users-create-user.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:06	34341/34341	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:36%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/users-list.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/users-list.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:06	25129/25129	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:20%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-create.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-create.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:07	41109/41109	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:18%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-all.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-all.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:07	26971/26971	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:18%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-active.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-active.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:07	23340/23340	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:20%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-drafts.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-drafts.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:08	23421/23421	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:20%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-expired.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-expired.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:08	26960/26960	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:20%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-featured.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-hotel-featured.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:08	23957/23957	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:22%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-create.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-create.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:09	35960/35960	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:22%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-all.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-all.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:09	23018/23018	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:22%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-active.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-active.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:09	23000/23000	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:24%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-drafts.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-drafts.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:10	23073/23073	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:24%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-expired.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-expired.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:10	26320/26320	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:24%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-featured.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-tour-featured.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:10	33285/33285	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:14%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-create.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-create.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:11	34903/34903	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:12%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-all.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-all.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:11	22881/22881	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:12%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-active.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-active.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:12	22845/22845	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:14%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-drafts.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-drafts.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:12	22871/22871	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:14%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-expired.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-expired.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:12	25889/25889	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:14%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-featured.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-featured.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:13	32186/32186	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-create.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-create.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:13	34710/34710	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-all.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-all.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:13	22831/22831	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-active.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-active.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:14	22887/22887	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-drafts.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-drafts.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:14	22834/22834	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:12%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-expired.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-expired.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:14	25795/25795	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:12%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-featured.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-car-featured.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:15	28743/28743	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-create.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-create.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:15	35047/35047	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:15	22897/22897	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-active.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-active.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:16	22869/22869	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-drafts.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-drafts.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:16	22916/22916	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:18%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-expired.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-expired.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:16	25975/25975	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:18%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-featured.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-featured.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:16	40595/40595	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:02%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:17	30770/30770	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:00%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-approved.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-approved.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:17	24935/24935	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:00%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-pending.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-pending.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:17	22951/22951	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:00%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-cancelled.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings-cancelled.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:18	22912/22912	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:34%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/reviews.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/reviews.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:18	21847/21847	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:02%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookmarks.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookmarks.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:18	26994/26994	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:28%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/messages-inbox.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/messages-inbox.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
13:55:19	21469/21469	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2011:01:24%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/messages-compose.html	D:/Demo/Admin/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/messages-compose.html	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/index.html)
